Generation,Best fitness,Worst fitness,Average fitness
205,41.2,7.0,22.621428571428588
206,40.8,5.6,21.941836734693894
207,39.2,6.4,21.663265306122444
208,39.2,8.8,21.667346938775502
209,42.8,8.4,22.395918367346923
210,43.6,8.6,21.843877551020405
211,39.4,5.6,21.337755102040823
212,42.6,7.4,23.407142857142862
213,44.6,6.6,24.0765306122449
214,43.8,6.6,21.163265306122426
215,42.8,6.4,21.14897959183674
216,41.4,5.8,22.511224489795907
217,46.0,8.0,23.943877551020393
218,40.0,3.2,21.20918367346938
219,43.4,7.8,22.78469387755103
220,42.8,9.0,22.716326530612236
221,41.4,6.4,22.44183673469387
222,44.2,6.4,23.10816326530614
223,40.6,5.8,21.835714285714282
224,41.4,5.0,20.766326530612233
225,41.0,7.2,21.86836734693878
226,41.0,6.8,20.937755102040814
227,40.6,5.8,20.221428571428568
228,44.6,7.0,22.670408163265297
229,41.6,6.6,21.648979591836728
230,43.4,7.6,22.58367346938777
231,40.2,7.0,21.642857142857142
232,43.6,7.6,21.01428571428572
233,41.8,6.0,21.94285714285714
234,43.8,7.8,21.154081632653064
235,40.6,5.0,20.28061224489794
236,42.4,6.2,21.437755102040818
237,43.6,3.8,21.046938775510206
238,41.8,4.0,20.654081632653053
239,39.6,5.2,20.82142857142858
240,44.2,8.0,22.69795918367348
241,40.8,6.4,21.181632653061225
242,40.6,6.2,21.943877551020393
243,43.2,7.4,22.51428571428572
244,43.6,3.4,20.00612244897959
245,43.2,6.4,21.002040816326513
246,40.8,6.8,20.780612244897956
247,42.0,6.0,22.02959183673469
248,47.0,7.8,22.838775510204094
249,41.6,9.6,21.160204081632642
250,43.8,5.0,21.536734693877573
251,43.4,3.2,20.275510204081648
252,40.6,7.2,21.404081632653078
253,43.4,7.0,22.266326530612226
254,40.8,4.8,20.093877551020405
255,44.8,6.8,21.88775510204082
256,43.0,6.0,20.682653061224496
257,42.2,6.4,21.121428571428563
258,41.4,7.8,20.42346938775511
259,43.0,3.4,20.881632653061224
260,40.2,5.8,21.804081632653066
261,43.8,5.6,21.335714285714282
262,43.4,5.4,21.839795918367347
263,42.4,7.2,22.290816326530617
264,42.2,5.0,20.82244897959183
265,43.8,6.4,21.40408163265306
266,44.0,5.0,21.639795918367355
267,44.6,5.0,21.54183673469388
268,44.6,3.6,21.516326530612243
269,39.8,3.2,21.076530612244902
270,41.6,4.4,20.155102040816324
271,44.6,5.2,21.337755102040802
272,40.2,7.4,21.526530612244887
273,42.6,5.8,20.806122448979593
274,43.8,6.6,23.010204081632644
275,42.8,4.2,21.315306122448984
276,42.6,5.8,20.84489795918367
277,43.2,8.0,21.66122448979592
278,42.0,7.6,20.288775510204083
279,41.0,6.6,20.49795918367348
280,44.0,5.8,22.355102040816316
281,40.6,7.8,19.866326530612245
282,42.8,4.0,19.08163265306122
283,43.2,5.4,19.436734693877554
284,42.2,7.8,19.74897959183673
285,41.2,4.6,20.238775510204093
286,42.6,4.2,20.37244897959185
287,43.0,5.4,20.105102040816337
288,41.0,6.2,19.392857142857153
289,44.4,7.6,20.96326530612246
290,43.4,5.4,20.139795918367323
291,42.2,9.2,21.178571428571434
292,43.2,8.0,19.843877551020412
293,45.0,4.8,20.567346938775522
294,40.2,6.4,18.710204081632657
295,40.4,5.0,18.587755102040802
296,45.0,6.2,21.07551020408162
297,43.0,4.6,20.142857142857164
298,41.8,5.2,19.99591836734692
299,41.2,5.8,21.13979591836733
300,39.4,4.4,20.20510204081634
301,40.2,5.6,20.258163265306138
302,42.2,8.0,20.162244897959162
303,44.8,6.8,20.060204081632662
304,43.0,5.6,20.771428571428572
305,42.6,6.6,21.136734693877546
306,38.4,6.6,19.173469387755105
307,42.4,5.0,21.01530612244899
308,39.8,3.4,18.841836734693903
309,42.8,5.6,19.681632653061204
310,40.8,2.8,21.192857142857168
311,42.4,6.0,20.644897959183652
312,43.0,6.4,20.063265306122453
313,42.0,8.2,22.035714285714292
314,44.8,6.0,23.44489795918366
315,43.6,5.8,20.429591836734705
316,43.8,6.8,19.56428571428573
317,44.4,7.2,20.172448979591852
318,39.6,6.6,20.80204081632655
319,40.6,5.8,21.934693877551005
320,42.0,8.0,21.666326530612253
321,42.0,8.4,21.065306122448977
322,42.6,6.6,21.460204081632654
323,40.6,6.4,20.15612244897961
324,43.8,4.8,22.324489795918378
325,45.4,6.2,21.339795918367372
326,42.8,5.2,21.087755102040823
327,44.4,5.6,21.50816326530614
328,44.0,4.0,21.13979591836735
329,43.2,5.8,20.63469387755102
330,45.0,6.0,22.171428571428578
331,39.4,6.4,20.60408163265306
332,43.6,5.8,21.966326530612243
333,42.8,7.6,21.39693877551021
334,45.8,3.8,23.0704081632653
335,45.2,7.6,22.936734693877554
336,45.4,6.6,22.978571428571442
337,41.8,4.8,23.44081632653062
338,41.6,6.2,22.57857142857144
339,45.0,8.2,23.09285714285716
340,43.2,8.6,22.256122448979593
341,42.6,6.0,21.202040816326527
342,38.6,2.6,18.61938775510204
343,41.4,6.8,19.539795918367354
344,41.2,5.4,21.27755102040816
345,40.8,8.0,22.35102040816326
346,43.8,5.2,22.27244897959183
347,42.6,7.2,21.271428571428572
348,43.2,5.6,21.298979591836723
349,42.2,7.2,21.9530612244898
350,42.4,8.2,21.869387755102057
351,42.0,7.6,20.365306122448978
352,42.8,4.0,20.979591836734688
353,42.0,6.4,21.643877551020402
354,40.4,6.8,20.00204081632656
355,40.8,7.6,20.7183673469388
356,43.8,4.8,21.30408163265308
357,40.4,7.4,19.67551020408162
358,41.0,5.6,19.293877551020405
359,44.4,1.6,20.33775510204082
360,40.0,6.6,19.019387755102038
361,41.8,6.4,19.748979591836747
