Generation,Best fitness,Worst fitness,Average fitness
117,38.8,6.2,18.837755102040806
118,39.4,5.4,19.65
119,38.2,7.2,19.776530612244894
120,37.2,5.0,18.096938775510203
121,35.8,7.2,18.189795918367338
122,36.6,7.6,18.29795918367347
123,37.4,5.8,18.942857142857143
124,37.4,3.6,18.93367346938775
125,36.2,5.8,18.562244897959175
126,38.4,7.0,19.586734693877546
127,38.8,6.6,19.6938775510204
128,36.0,5.4,18.281632653061223
129,36.4,5.2,18.778571428571418
130,35.4,5.4,20.098979591836727
131,36.4,7.0,20.631632653061224
132,36.4,5.6,20.413265306122458
133,37.2,7.6,20.672448979591838
134,37.6,6.8,20.902040816326533
135,37.4,6.2,20.535714285714292
136,37.2,7.8,21.679591836734673
137,37.8,10.4,21.73571428571428
138,38.2,7.6,22.391836734693893
139,37.0,6.4,20.92142857142858
140,36.6,6.0,20.73877551020408
141,38.6,7.2,21.555102040816326
142,36.0,9.0,20.448979591836746
143,38.4,4.6,21.54591836734694
144,36.2,8.2,21.18979591836734
145,39.2,9.2,21.78061224489795
146,40.4,8.0,22.537755102040816
147,36.4,8.4,20.150000000000002
148,38.8,8.8,21.583673469387747
149,35.6,9.0,21.790816326530607
150,39.0,9.8,22.18571428571428
151,39.0,6.6,21.620408163265317
152,37.2,8.8,21.382653061224513
153,38.4,7.0,22.52244897959182
154,38.2,7.6,21.920408163265307
155,37.6,9.8,22.461224489795924
156,38.2,7.6,21.65612244897958
157,36.4,7.2,20.967346938775503
158,37.6,5.0,21.42142857142859
159,36.6,6.6,21.68367346938775
160,35.4,6.6,20.92755102040816
161,37.6,7.6,22.562244897959186
162,36.4,8.6,22.31020408163264
163,38.4,8.2,22.816326530612255
164,39.4,9.0,22.265306122448965
165,36.0,6.8,20.983673469387757
166,39.2,7.0,21.140816326530615
167,39.0,7.2,21.011224489795914
168,37.4,7.2,20.70204081632652
169,37.8,8.0,20.463265306122445
170,38.4,8.6,21.632653061224502
171,40.6,10.8,22.910204081632646
172,37.6,6.4,21.566326530612244
173,38.4,7.4,21.997959183673466
174,38.6,7.0,21.312244897959186
175,39.2,6.4,21.48775510204079
176,40.0,8.4,22.41530612244898
177,39.2,9.0,21.865306122448967
178,36.8,7.2,20.813265306122446
179,38.4,8.4,21.687755102040814
180,37.2,6.2,20.49897959183674
181,39.6,5.2,22.666326530612245
182,39.6,7.2,21.75510204081631
183,39.2,7.6,22.153061224489797
184,39.2,7.6,23.31530612244898
185,38.4,8.4,21.45714285714285
186,40.4,8.4,21.69897959183673
187,37.0,7.6,20.58163265306123
188,39.4,8.0,21.751020408163264
189,39.0,8.8,21.697959183673476
190,39.0,8.4,20.814285714285706
191,39.4,9.6,22.819387755102042
192,40.4,9.8,22.580612244897964
193,39.0,7.6,22.458163265306123
194,40.0,7.8,22.832653061224498
195,38.2,9.0,22.835714285714268
196,38.2,9.8,22.062244897959182
197,40.4,9.2,23.352040816326532
198,37.8,8.0,23.259183673469398
199,40.6,7.8,22.44795918367345
200,39.2,3.6,21.13469387755102
201,40.6,5.8,22.012244897959192
202,39.4,7.4,22.495918367346956
203,39.6,6.8,21.45816326530612
204,41.2,6.6,22.0734693877551
205,39.4,7.2,21.64285714285714
206,44.2,5.4,22.275510204081634
207,41.0,7.8,21.29387755102041
208,40.6,3.0,22.143877551020417
209,41.6,7.4,22.499999999999986
210,41.8,5.6,23.267346938775503
211,41.2,7.4,23.422448979591824
212,42.2,6.2,24.637755102040813
213,40.6,9.6,23.03877551020408
214,41.2,8.8,22.203061224489794
215,42.4,9.0,23.097959183673467
216,43.2,5.8,22.987755102040815
217,43.8,8.4,22.30918367346939
218,41.4,5.4,21.867346938775512
219,45.0,6.8,22.5938775510204
220,45.2,7.8,24.01836734693878
221,44.8,7.2,23.808163265306124
222,44.0,7.0,23.44183673469388
223,44.8,8.2,24.314285714285706
224,44.0,9.2,23.821428571428577
225,44.8,7.6,23.805102040816323
226,44.0,4.6,22.682653061224503
227,44.0,8.0,22.9857142857143
228,42.2,6.8,23.48469387755102
229,45.4,5.0,23.715306122448983
230,44.4,6.8,23.74489795918368
231,44.4,9.6,23.375510204081642
232,43.6,8.8,23.263265306122456
233,42.8,7.6,23.305102040816337
234,43.0,8.8,23.994897959183668
235,45.2,7.0,24.528571428571418
236,44.8,4.6,25.715306122449
237,43.4,6.6,24.30204081632655
238,43.2,7.0,23.979591836734688
239,43.2,8.0,24.178571428571423
240,45.8,9.2,24.408163265306122
241,44.4,9.4,24.275510204081613
242,45.8,3.8,25.163265306122454
243,45.0,8.4,24.68673469387757
244,44.2,8.8,24.414285714285718
245,45.8,9.6,25.54591836734693
246,43.8,7.6,24.86836734693875
247,40.8,9.0,23.082653061224487
248,45.4,7.6,23.96020408163264
249,43.8,7.4,25.43163265306122
250,46.8,9.6,25.479591836734667
251,46.0,10.8,26.5683673469388
252,45.2,6.2,25.21326530612245
253,44.6,6.6,23.720408163265304
254,44.6,7.6,24.64183673469388
255,43.2,6.2,23.6826530612245
256,43.0,9.4,23.578571428571426
257,45.6,4.8,25.9091836734694
258,43.8,10.2,25.356122448979583
259,42.2,8.6,25.098979591836738
260,44.6,8.6,25.61734693877549
261,46.6,8.2,26.944897959183674
262,43.4,10.4,25.84897959183674
263,45.2,8.2,26.57244897959183
264,44.8,8.6,26.831632653061217
265,45.0,11.2,25.19999999999999
266,42.8,8.2,24.787755102040805
267,45.0,6.8,27.06530612244897
268,46.2,8.8,27.182653061224485
269,41.6,8.2,25.62653061224492
270,43.2,9.2,25.483673469387753
271,45.2,9.4,25.261224489795946
272,42.2,9.4,24.511224489795904
273,44.8,7.4,25.299999999999997
274,43.6,7.8,24.665306122448985
275,42.8,7.2,24.48061224489797
276,44.6,10.0,25.29693877551019
277,43.4,8.4,24.64081632653065
278,44.2,8.2,24.994897959183692
279,43.6,9.6,24.65510204081632
280,43.2,10.2,24.47653061224491
281,42.2,8.2,24.100000000000005
282,46.0,5.6,25.070408163265334
283,45.0,9.2,23.5418367346939
284,45.0,8.4,24.846938775510218
285,45.0,7.8,24.697959183673493
286,43.0,9.8,22.737755102040833
287,43.0,9.0,21.773469387755114
288,46.6,7.8,23.366326530612255
289,45.6,7.2,21.43979591836734
