Generation,Best fitness,Worst fitness,Average fitness
261,45.4,4.8,23.631632653061224
262,45.2,7.0,23.319387755102014
263,44.0,5.4,23.682653061224492
264,45.8,4.8,23.717346938775517
265,44.8,4.4,22.713265306122462
266,46.6,5.8,22.18877551020406
267,42.0,6.4,21.074489795918364
268,41.4,5.2,21.656122448979602
269,46.8,5.0,22.54795918367348
270,43.6,7.8,21.3938775510204
271,43.6,4.2,21.121428571428574
272,42.6,7.0,20.952040816326527
273,46.4,3.2,22.23061224489796
274,46.2,6.2,21.81632653061225
275,45.8,5.2,22.5
276,43.6,4.2,22.008163265306116
277,45.4,5.2,24.152040816326537
278,44.0,5.2,23.08469387755102
279,46.0,6.4,25.26836734693878
280,45.6,6.0,23.998979591836736
281,45.6,4.0,23.222448979591828
282,42.6,7.0,21.731632653061226
283,46.6,4.8,24.143877551020406
284,44.8,5.2,22.604081632653077
285,42.2,6.2,22.129591836734697
286,45.2,6.6,23.59489795918367
287,43.2,5.4,22.171428571428574
288,48.2,7.2,23.918367346938776
289,45.4,6.6,23.12244897959185
290,45.8,5.0,24.58163265306124
291,44.8,6.0,24.787755102040805
292,45.4,7.2,25.046938775510203
293,41.4,4.2,24.2081632653061
294,46.8,5.6,25.321428571428577
295,42.2,5.4,23.4530612244898
296,44.8,5.8,25.20408163265306
297,45.2,7.4,23.946938775510212
298,43.8,7.8,22.761224489795914
299,43.2,7.2,23.23367346938776
300,44.4,3.2,23.672448979591834
301,46.0,5.4,23.213265306122445
302,47.4,7.2,23.784693877551007
303,44.0,4.2,23.664285714285732
304,43.4,6.0,22.19285714285715
305,48.2,5.4,23.64897959183674
306,47.0,4.8,22.71020408163267
307,46.0,4.6,23.10408163265307
308,47.0,1.8,23.630612244897964
309,45.0,6.2,22.497959183673473
310,46.4,3.8,24.67959183673468
311,47.0,6.6,26.36938775510203
312,44.2,6.4,23.821428571428577
313,44.0,7.0,22.83877551020409
314,45.2,6.0,22.988775510204075
315,45.2,5.4,23.575510204081628
316,44.8,7.4,22.545918367346935
317,46.0,5.8,23.574489795918378
318,43.8,5.8,23.14489795918369
319,44.6,8.0,24.358163265306132
320,46.4,5.4,24.054081632653055
321,46.0,7.4,23.422448979591834
322,44.4,5.0,24.140816326530615
323,47.0,7.4,24.067346938775522
324,43.8,5.0,23.049999999999997
325,43.4,6.6,23.336734693877546
326,44.2,7.2,24.47857142857142
327,47.6,7.4,26.238775510204082
328,45.2,5.0,24.285714285714285
329,47.0,5.2,23.995918367346924
330,45.0,8.6,23.215306122448983
331,48.6,5.6,24.71326530612246
332,47.2,7.4,24.620408163265306
333,45.6,8.0,23.582653061224494
334,45.6,0.8,23.747959183673487
335,46.2,4.6,22.729591836734695
336,47.0,7.8,24.271428571428583
337,45.8,7.8,23.278571428571436
338,47.0,6.2,23.62448979591838
339,44.8,3.4,22.678571428571416
340,46.4,5.2,22.752040816326527
341,43.4,5.4,22.266326530612247
342,46.2,6.0,22.744897959183678
343,43.6,3.6,22.102040816326532
344,41.6,4.4,22.701020408163263
345,46.8,5.4,23.613265306122468
346,44.8,4.8,22.006122448979593
347,45.4,5.2,22.0765306122449
348,45.2,6.2,21.8469387755102
349,45.8,5.8,22.296938775510203
350,44.8,6.2,23.33571428571428
351,47.0,6.8,23.714285714285722
352,47.2,2.4,22.734693877551017
353,43.0,7.4,22.299999999999997
354,45.2,4.6,23.20816326530612
355,44.0,6.2,22.672448979591852
356,46.2,5.0,22.18367346938774
357,43.2,7.4,21.976530612244897
358,46.0,4.0,23.050000000000004
359,44.4,6.2,23.28367346938776
360,44.4,6.4,23.501020408163264
361,45.6,5.6,23.085714285714282
362,45.0,3.8,22.269387755102038
363,44.0,6.4,21.074489795918364
364,47.2,7.6,22.759183673469398
365,43.6,6.2,22.426530612244903
366,45.4,4.8,22.880612244897957
367,45.4,3.2,22.567346938775508
368,46.4,5.0,22.93163265306122
369,47.0,6.0,23.59489795918368
370,46.4,5.8,23.802040816326542
371,44.6,4.8,22.7530612244898
372,44.8,5.4,22.773469387755103
373,46.0,5.4,22.227551020408164
374,46.0,5.2,21.863265306122457
375,45.8,8.2,21.348979591836724
376,47.6,5.6,22.73571428571429
377,43.6,6.6,22.24795918367346
378,43.4,7.2,22.54591836734694
379,47.8,4.6,23.661224489795917
380,46.2,4.2,22.292857142857155
381,46.2,5.8,22.201020408163274
382,44.4,4.8,22.61938775510204
383,45.0,5.6,22.979591836734684
384,47.6,6.2,24.8142857142857
385,45.6,6.0,24.747959183673466
386,47.8,7.8,24.834693877551025
387,46.8,7.2,24.61938775510204
388,45.8,6.6,23.78367346938776
389,43.2,6.8,22.127551020408145
390,45.2,3.0,22.217346938775513
391,43.8,3.8,22.09285714285714
392,46.2,1.6,24.163265306122447
393,41.8,7.0,23.143877551020392
394,47.0,3.6,25.68673469387756
395,47.4,5.6,25.1908163265306
396,43.2,6.4,24.779591836734678
397,45.0,2.6,24.73571428571429
398,46.8,5.8,25.185714285714276
399,45.0,7.0,24.512244897959167
400,44.8,4.8,23.69795918367346
401,45.8,8.4,24.13877551020407
402,45.0,4.2,23.932653061224492
403,44.2,4.6,23.495918367346928
404,44.4,5.0,23.078571428571426
405,44.4,6.4,22.958163265306116
406,43.6,3.8,22.995918367346942
407,46.2,6.2,23.906122448979602
408,44.2,7.2,23.649999999999988
409,46.0,8.6,23.946938775510205
410,44.2,3.2,23.572448979591837
411,46.4,8.0,24.736734693877544
412,47.8,4.4,24.711224489795924
413,44.6,5.4,23.431632653061232
414,45.6,7.0,24.0591836734694
415,43.6,7.4,23.028571428571418
416,43.2,5.6,22.276530612244887
417,44.8,6.6,22.529591836734703
418,44.4,5.4,22.17448979591839
419,45.4,6.8,22.892857142857167
420,44.6,4.4,24.24795918367345
421,45.2,6.0,25.25
422,45.8,4.6,24.16938775510204
423,45.2,5.8,24.262244897959185
424,43.2,4.0,23.229591836734695
425,45.0,9.2,24.267346938775514
426,42.8,7.2,23.054081632653055
427,44.2,7.8,22.74897959183674
428,43.8,6.0,22.923469387755098
429,43.8,6.4,22.111224489795905
430,42.8,6.6,21.288775510204076
431,43.4,6.0,21.196938775510198
432,43.4,6.2,21.56836734693876
433,45.4,8.4,21.60510204081632
434,44.0,6.4,21.230612244897955
435,44.4,5.8,22.483673469387753
436,49.0,5.4,23.59285714285716
437,45.6,7.0,23.109183673469385
438,45.0,5.6,23.197959183673472
439,44.0,7.0,22.381632653061224
440,46.0,6.8,22.70102040816326
441,45.6,7.2,23.217346938775492
442,44.2,7.2,21.304081632653055
443,46.6,4.6,22.145918367346955
444,45.2,4.6,22.45408163265305
445,42.2,6.0,22.859183673469392
446,45.0,7.4,23.818367346938764
447,45.6,3.8,22.64183673469388
448,44.2,6.2,23.872448979591844
449,43.6,5.0,23.230612244897962
450,47.6,6.2,23.75816326530612
451,42.8,6.6,22.21326530612244
452,44.0,6.2,22.58061224489796
453,47.2,7.2,23.48061224489796
454,44.0,7.2,22.83571428571428
455,47.4,4.8,24.178571428571434
456,44.2,6.0,22.936734693877543
457,43.8,2.6,21.794897959183682
458,44.6,4.4,23.439795918367338
